Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
Affirm,"Analyst, Business Intelligence",,Remote,,,,,,12/22/2020,,12/28/2020,In Progress
Teachable,"Operations Analyst, Business Operations",,New York,,,,,,12/20/2020,,12/28/2020,In Progress
Newfront Insurance,Data Analyst,,Remote,,,,,,12/19/2020,,12/28/2020,In Progress
Insurity,Business Analyst,,Irving,,,,,,12/19/2020,Referred by Vince,12/22/2020,In Progress
Spark Foundry,"Analyst, Analytics",,New York,,,,,,12/19/2020,,12/20/2020,In Progress
Sendoso,Data Analyst,,San Francisco,,,,,,12/19/2020,,12/19/2020,In Progress
Pizza Hut,Business Analyst,,Plano,,,,,,12/19/2020,,12/19/2020,In Progress
HelloFresh,Data Analyst,,New Jersey,,,,,,12/19/2020,,12/19/2020,In Progress
Sefal Partners,Data Analyst,,Remote,,,,,,12/19/2020,,12/19/2020,In Progress
Parkhub,Jr. Data Analyst,,Dallas,,,,,,12/19/2020,,12/19/2020,In Progress
Crane Worldwide Logistics,Staff Data Engineer,,Houston,,,,,,12/19/2020,,12/19/2020,In Progress
Juniper Square,Reporting Analyst,,Austin,,,,,,12/19/2020,,12/21/2020,Rejected
Fivetran,Data Analyst II,,Oakland,,,,,,12/19/2020,,12/19/2020,In Progress
Quartet Health,Data Analyst,,Remote,,,,,,12/19/2020,,12/19/2020,In Progress
Cloudflare,Data Analyst,,Austin,,,,,,12/18/2020,,12/19/2020,In Progress
A Cloud Guru,Data Steward,,Austin,Recruiter Screen,,,,,12/18/2020,,12/23/2020,In Progress
JetBlue,Data Scientist,,New York City,,,,,,12/18/2020,,12/18/2020,In Progress
OU ,BI Analyst,,Oklahoma City,,,,,,12/18/2020,,12/18/2020,In Progress
Associa,Data Analyst,,Richardson,,,,,,12/18/2020,,12/18/2020,In Progress
Uplight,Associate Data Engineer,,Remote,,,,,,12/14/2020,,12/18/2020,In Progress
Hotel Engine,Data Analyst,,Denver,,,,,,12/14/2020,,12/14/2020,In Progress
Dutchie,Data Analyst,,Remote,,,,,,12/14/2020,,12/15/2020,Rejected
Bookbyte,Business Intelligence Engineer,,Remote,,,,,,12/14/2020,,12/14/2020,In Progress
Hims & Hers,Data Analyst,,Remote,,,,,,12/14/2020,,12/14/2020,In Progress
Parachute,Growth Data Analyst,,Los Angeles,Recruiter Screen,Recruiter Screen,,,,12/14/2020,,12/18/2020,Rejected
Favor,"Merchant Insights Analyst, Business Analytics",,Austin,,,,,,12/10/2020,,12/14/2020,In Progress
Inspire,Analytics Engineer,,Santa Monica,Screen,Tech Assessment,Team Interview,Exec Interview,,12/10/2020,,12/10/2020,In Progress
Inspire,"Analyst, Analytics",,Santa Monica,,,,,,12/10/2020,,12/17/2020,Rejected
HEB,Data Scientist I,,San Antonio,,,,,,12/10/2020,,12/10/2020,In Progress
Pingboard,Customer Support Advocate,,Austin,,,,,,12/10/2020,,12/10/2020,In Progress
Thumbtack,Business Analyst,,Remote until July 2021 / SF,,,,,,12/9/2020,,12/10/2020,In Progress
Chipper Cash,"Data Analyst, Intelligence",,Remote,,,,,,12/9/2020,,12/9/2020,In Progress
Career Karma,Data Analyst,,Remote,,,,,,12/9/2020,,12/9/2020,In Progress
Oklahoma City University,Business Intelligence and Reporting Analyst,,Oklahoma City,,,,,,12/9/2020,,12/9/2020,In Progress
Peloton Interactive,"Data Analyst, Member Support Analytics",,Remote,,,,,,12/7/2020,,12/9/2020,In Progress
University of Texas at Arlington,Business Analytics Analyst,,Arlington,,,,,,12/7/2020,,12/7/2020,In Progress
Torchy's Tacos,Front of House Team Member,,Highland Village,,,,,,12/7/2020,,12/7/2020,In Progress
Twitter,Data Analyst - Revenue Intelligence,,San Francisco,,,,,,12/7/2020,,12/7/2020,In Progress
Nomi Health,Data Analyst,,Addison,,,,,,12/7/2020,,12/7/2020,In Progress
Cerebral,Data Analyst,,Remote,Recruiter Screen,,,,,12/6/2020,Sent message to hiring manager,12/18/2020,In Progress
Buxton Co,Data Analyst,,Fort Worth,On-Demand Interview,Initial Review + Tech Assessment,,,,12/5/2020,,12/6/2020,In Progress
Charles Schwab,Client Banking Services Professional,,Westlake,Recruiter Screen,,,,,12/4/2020,Referred by Chris,12/28/2020,In Progress
Dell,"Senior Customer Support Agent, Technical Services",,Remote - Oklahoma,,,,,,12/3/2020,,12/4/2020,In Progress
University of North Texas,Associate Academic Advisor,,Denton,,,,,,12/3/2020,,12/3/2020,In Progress
